662,7063,7032,Sct
663,7032,7020,Sct
664,7020,6930,Sct
665,6930,6973,Sct
666,3981,4119,Sex
667,4119,4116,Sex
668,4116,3909,Sex
669,3909,3981,Sex
670,1791,1409,Tau
671,1409,1373,Tau
672,1373,1346,Tau
673,1346,1411,Tau
674,1411,1457,Tau
675,1457,1910,Tau
676,1457,1409,Tau
677,1373,1165,Tau
678,1346,1239,Tau
679,1239,1030,Tau
680,6897,6934,Tel
681,6934,7424,Tel
682,7424,7673,Tel
683,7673,7510,Tel
684,7510,7134,Tel
685,7134,6905,Tel
686,6905,6897,Tel
687,544,622,Tri
688,622,664,Tri
689,664,544,Tri
690,6217,5897,TrA
691,5897,5671,TrA
692,5671,6217,TrA
693,8502,8848,Tuc
694,8848,126,Tuc
695,126,77,Tuc
696,77,9076,Tuc
697,9076,8540,Tuc
698,8540,8502,Tuc
699,5191,5054,UMa
700,5054,4905,UMa
701,4905,4660,UMa
702,4660,4301,UMa
703,4301,3757,UMa
704,3757,3323,UMa
705,3323,3888,UMa
706,3888,4295,UMa
707,4295,4554,UMa
708,4554,4518,UMa
709,4518,4377,UMa
710,4377,4375,UMa
711,4518,4335,UMa
712,4335,4069,UMa
713,4069,4033,UMa
714,3888,3775,UMa
715,3775,3594,UMa
716,3594,3569,UMa
717,3757,3888,UMa
718,4301,4295,UMa
719,4660,4554,UMa
720,424,6789,UMi
721,6789,6322,UMi
722,6322,5903,UMi
723,5903,6116,UMi
724,6116,5735,UMi
725,5735,5563,UMi
726,5563,5903,UMi
727,3207,3485,Vel
728,3485,3734,Vel
729,3734,3940,Vel
730,3940,4216,Vel
731,4216,4023,Vel
732,4023,3786,Vel
733,3786,3634,Vel
734,3634,3207,Vel
735,4608,4517,Vir
736,4517,4540,Vir
737,4540,4689,Vir
738,4689,4608,Vir
739,4689,4825,Vir
740,4825,5107,Vir
741,5107,5264,Vir
742,5264,5511,Vir
743,5107,5338,Vir
744,5338,5487,Vir
745,4825,4963,Vir
746,4963,5056,Vir
747,4825,4910,Vir
748,4910,4932,Vir
749,3615,3347,Vol
750,3347,2803,Vol
751,2803,2736,Vol
752,2736,3024,Vol
753,3024,3223,Vol
754,3223,3347,Vol
755,7995,7744,Vul
756,7744,7653,Vul
757,7653,7592,Vul
758,7592,7405,Vul
759,7405,7306,Vul
